number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
385,0.4577524960041046,2023-04-26 17:51:22.286070,2023-04-26 17:51:28.488784,0 days 00:00:06.202714,0.08826171984129075,5,0.00010565191932411131,0.011409277100216147,0.30000000000000004,0.5,3,0.44677701592445374,0.4527655243873596,0.4577524960041046,,PRUNED
87,0.4576863646507263,2023-04-26 16:45:03.132062,2023-04-26 16:45:19.110893,0 days 00:00:15.978831,0.0434783696013657,6,0.00014859281119788086,0.004105154091249959,0.7000000000000001,0.0,2,0.4352625012397766,0.44529831409454346,0.4574625790119171,0.4576863646507263,PRUNED
475,0.4576318860054016,2023-04-26 18:07:25.578383,2023-04-26 18:07:31.560229,0 days 00:00:05.981846,0.08612789097567224,5,6.54990087632009e-05,0.00801927996695035,0.5,0.25,2,0.44101226329803467,0.4562918245792389,0.4576318860054016,,PRUNED
409,0.4575634300708771,2023-04-26 17:56:19.225339,2023-04-26 17:56:25.427868,0 days 00:00:06.202529,0.016830211929700325,5,7.800272843038623e-05,0.043463906709990244,0.30000000000000004,0.5,3,0.4575634300708771,,,,PRUNED
163,0.45752760767936707,2023-04-26 17:02:58.580272,2023-04-26 17:03:04.630568,0 days 00:00:06.050296,0.05614370840373245,5,0.00011494811227357963,0.003227062107615246,0.6000000000000001,0.0,2,0.438419908285141,0.44941896200180054,0.45752760767936707,,PRUNED
488,0.4575136601924896,2023-04-26 18:09:09.232373,2023-04-26 18:09:15.343978,0 days 00:00:06.111605,0.0685425493655461,5,0.00024706041883764735,0.012565668807969419,0.5,0.0,2,0.45238742232322693,0.4575136601924896,,,PRUNED
189,0.45746293663978577,2023-04-26 17:12:43.937780,2023-04-26 17:12:50.530865,0 days 00:00:06.593085,0.06493336343471202,5,0.0001344305462359104,0.007000127050571885,0.5,0.25,2,0.45056959986686707,0.45746293663978577,,,PRUNED
133,0.4574044942855835,2023-04-26 16:51:39.589459,2023-04-26 16:51:56.703030,0 days 00:00:17.113571,0.04146994810535332,5,0.00024737353733105704,0.009102448765974871,0.5,0.0,2,0.450067937374115,0.4572144150733948,0.4574044942855835,,PRUNED
220,0.457385778427124,2023-04-26 17:18:33.573008,2023-04-26 17:18:40.136064,0 days 00:00:06.563056,0.05382141680794601,6,0.00021257631478664753,0.005103140568223085,0.5,0.0,2,0.4517306387424469,0.457385778427124,,,PRUNED
370,0.45736461877822876,2023-04-26 17:45:46.424072,2023-04-26 17:45:52.478597,0 days 00:00:06.054525,0.04250619235784657,5,6.987365565569983e-05,0.009484894666672718,0.30000000000000004,0.5,2,0.44515174627304077,0.4564429223537445,0.45736461877822876,,PRUNED
404,0.4573489725589752,2023-04-26 17:54:41.613230,2023-04-26 17:54:56.794228,0 days 00:00:15.180998,0.06116424637660771,5,6.239919450191572e-05,0.01105511551496786,0.30000000000000004,0.5,2,0.45494091510772705,0.4595177173614502,0.4573489725589752,,PRUNED
168,0.4572998881340027,2023-04-26 17:04:15.211260,2023-04-26 17:04:31.925288,0 days 00:00:16.714028,0.06273588557034102,5,0.00014193396992039805,0.005270793262397764,0.5,0.25,2,0.4406629502773285,0.45462027192115784,0.46015703678131104,0.4572998881340027,PRUNED
212,0.45727425813674927,2023-04-26 17:17:12.129333,2023-04-26 17:17:18.366132,0 days 00:00:06.236799,0.04681346048875986,5,0.00016668678847038922,0.0046261575705699685,0.6000000000000001,0.5,2,0.45727425813674927,,,,PRUNED
223,0.4572591185569763,2023-04-26 17:18:50.035479,2023-04-26 17:18:56.600479,0 days 00:00:06.565000,0.04548182300697551,5,6.773041756512553e-05,0.006361915585132499,0.5,0.25,2,0.4392009973526001,0.4502462148666382,0.4572591185569763,,PRUNED
334,0.45723259449005127,2023-04-26 17:38:10.145423,2023-04-26 17:38:16.229663,0 days 00:00:06.084240,0.05543204222784841,3,0.00011513190127382801,0.010348654439744538,0.4,0.25,2,0.45723259449005127,,,,PRUNED
387,0.45722833275794983,2023-04-26 17:52:04.333220,2023-04-26 17:52:10.331637,0 days 00:00:05.998417,0.09031720253365377,5,9.610189309094131e-05,0.01319015549922451,0.4,0.5,2,0.45817655324935913,0.45722833275794983,,,PRUNED
256,0.4572259485721588,2023-04-26 17:27:35.536475,2023-04-26 17:27:42.186436,0 days 00:00:06.649961,0.09399126485733628,5,0.0001920650579843847,0.011105620652467525,0.5,0.0,5,0.4572259485721588,,,,PRUNED
438,0.4572192430496216,2023-04-26 18:00:59.735370,2023-04-26 18:01:05.702416,0 days 00:00:05.967046,0.08019335165955903,5,8.491814717351749e-05,0.008886692342021028,0.4,2.5,2,0.4572192430496216,,,,PRUNED
384,0.4571807086467743,2023-04-26 17:51:15.949123,2023-04-26 17:51:22.285070,0 days 00:00:06.335947,0.0845653443310316,5,8.856892971006289e-05,0.013968798465688147,0.4,0.5,2,0.45205238461494446,0.4571807086467743,,,PRUNED
303,0.4571568965911865,2023-04-26 17:32:27.549107,2023-04-26 17:32:33.321161,0 days 00:00:05.772054,0.0839808161962853,6,0.00019189287059654688,0.011539098002106818,0.5,0.0,2,0.4506183862686157,0.4571568965911865,,,PRUNED
395,0.4571535885334015,2023-04-26 17:53:30.664963,2023-04-26 17:53:36.660599,0 days 00:00:05.995636,0.06528690159168793,5,6.0465650007924226e-05,0.012746733822103602,0.4,0.5,2,0.45232415199279785,0.454478919506073,0.4571535885334015,,PRUNED
286,0.4571170210838318,2023-04-26 17:31:17.938755,2023-04-26 17:31:24.232901,0 days 00:00:06.294146,0.06216060101867903,5,0.0003123298002560441,0.01763357515757788,0.6000000000000001,0.25,2,0.45025283098220825,0.4571170210838318,,,PRUNED
194,0.4570784568786621,2023-04-26 17:14:38.491747,2023-04-26 17:14:45.291222,0 days 00:00:06.799475,0.05379939054706465,5,0.00022418831002973198,0.00642193507724189,0.5,0.25,2,0.4508492946624756,0.4570784568786621,,,PRUNED
322,0.4570755958557129,2023-04-26 17:36:31.287386,2023-04-26 17:36:37.265927,0 days 00:00:05.978541,0.05894873960862799,5,0.00018257985798326502,0.007899309646141765,0.5,0.25,2,0.45126187801361084,0.4570755958557129,,,PRUNED
393,0.45701807737350464,2023-04-26 17:53:13.206702,2023-04-26 17:53:27.690144,0 days 00:00:14.483442,0.06299097111519622,5,9.251601202673449e-05,0.00980403771889176,0.30000000000000004,0.75,2,0.4601014256477356,0.45701807737350464,,,PRUNED
382,0.4569590985774994,2023-04-26 17:51:06.805413,2023-04-26 17:51:12.991897,0 days 00:00:06.186484,0.09106559084814049,5,0.00010824050883648801,0.011944367417973408,0.4,0.5,2,0.446412056684494,0.4518733024597168,0.4569590985774994,,PRUNED
312,0.4569360017776489,2023-04-26 17:33:01.117262,2023-04-26 17:33:07.676470,0 days 00:00:06.559208,0.08218772166780718,5,9.636835580232121e-05,0.017211054337144403,0.4,2.0,2,0.43745946884155273,0.4511735439300537,0.4569360017776489,,PRUNED
408,0.4569207429885864,2023-04-26 17:56:12.925490,2023-04-26 17:56:19.224839,0 days 00:00:06.299349,0.01768109485192878,5,6.675301504464374e-05,0.00769273953038206,0.30000000000000004,0.5,2,0.4518411159515381,0.4569207429885864,,,PRUNED
261,0.45692014694213867,2023-04-26 17:27:57.779177,2023-04-26 17:28:03.665146,0 days 00:00:05.885969,0.09496275620744911,5,6.532566395368395e-05,0.006149163205745781,0.5,0.0,2,0.44338929653167725,0.4526604115962982,0.45692014694213867,,PRUNED
222,0.4568929076194763,2023-04-26 17:18:43.519534,2023-04-26 17:18:50.034975,0 days 00:00:06.515441,0.05227245649327905,5,0.00013818701974131338,0.012728578782486687,0.6000000000000001,0.25,2,0.4499656558036804,0.4568929076194763,,,PRUNED
328,0.45688560605049133,2023-04-26 17:37:44.670754,2023-04-26 17:37:50.960588,0 days 00:00:06.289834,0.06684414702412454,4,0.00023229983761600145,0.003414333427273594,0.7000000000000001,0.25,2,0.44922810792922974,0.45688560605049133,,,PRUNED
105,0.4568134844303131,2023-04-26 16:47:47.313591,2023-04-26 16:47:54.184834,0 days 00:00:06.871243,0.036119480759738996,5,0.00035042405972675447,0.0065984010289452935,0.5,0.25,2,0.4568134844303131,,,,PRUNED
