number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_l1_reg,params_l2_reg,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
428,0.6244110232941732,2023-04-26 13:55:26.594752,2023-04-26 13:55:27.680341,0 days 00:00:01.085589,0.652925573126366,0.04347946047999449,0.08468057290583425,1.1807515799177541,0.2422549673483067,4,17,0.7162994356895575,0.6244110232941732,,,,PRUNED
963,0.6244265109547928,2023-04-26 14:07:09.491225,2023-04-26 14:07:10.594319,0 days 00:00:01.103094,0.5198281849244928,0.010858860392860081,0.15028545427275614,0.413789429067834,0.24596397060554334,5,3,0.9999952538475322,0.6244265109547928,,,,PRUNED
991,0.6244320885416782,2023-04-26 14:07:48.178152,2023-04-26 14:07:49.266379,0 days 00:00:01.088227,0.5395866207956411,0.017336686779663556,0.8148722206052587,1.7015771393829406,0.24014008114351484,5,7,0.9323969150335869,0.6244320885416782,,,,PRUNED
297,0.6244489756906749,2023-04-26 13:52:41.415502,2023-04-26 13:52:42.448588,0 days 00:00:01.033086,0.7160987617372492,0.05638271933564386,0.018637891532501557,0.7735059774973421,0.2582976596805367,4,11,0.7321115698542476,0.6244489756906749,,,,PRUNED
999,0.6244884871040202,2023-04-26 14:08:00.577030,2023-04-26 14:08:01.690709,0 days 00:00:01.113679,0.9962789093716294,0.37143367379543046,0.8557671394102229,0.48294670005675716,0.2436083453285475,5,11,0.9839316345502913,0.6244884871040202,,,,PRUNED
643,0.6245196724848519,2023-04-26 14:00:04.681780,2023-04-26 14:00:05.835879,0 days 00:00:01.154099,0.5259888654208462,0.03221518628777263,0.4409381066215405,1.4019861448243924,0.20284109716935167,3,7,0.6600658307329301,0.6245196724848519,,,,PRUNED
952,0.6245373009240252,2023-04-26 14:06:54.058659,2023-04-26 14:06:55.183763,0 days 00:00:01.125104,0.5001021061540705,0.011086907833854857,0.185902689535636,0.373578292911644,0.23109895621026544,6,9,0.9675830788598252,0.6245373009240252,,,,PRUNED
921,0.6245654719034848,2023-04-26 14:06:15.529543,2023-04-26 14:06:16.658741,0 days 00:00:01.129198,0.5336097750273404,0.033714092488686564,0.0625812555019018,0.17718579187789255,0.2389182757990396,5,2,0.8781757840301957,0.6245654719034848,,,,PRUNED
912,0.62468463805868,2023-04-26 14:06:05.254998,2023-04-26 14:06:06.373596,0 days 00:00:01.118598,0.5160960248148231,0.025700423975193974,0.09077289250992852,0.3400896833999891,0.25669025610758656,4,9,0.8907321001168346,0.62468463805868,,,,PRUNED
459,0.6247339697901552,2023-04-26 13:56:02.623564,2023-04-26 13:56:04.008329,0 days 00:00:01.384765,0.5097876993454091,0.07809310230353388,0.08775913304329064,1.1170284971461826,0.28314056690013367,13,3,0.8446670821113029,0.6247339697901552,,,,PRUNED
661,0.6247402843022205,2023-04-26 14:00:25.087622,2023-04-26 14:00:26.212019,0 days 00:00:01.124397,0.5110327821938295,0.1656140111271585,0.44464136945396204,0.9207363267262616,0.17618187593454532,5,17,0.6078812895360719,0.6247402843022205,,,,PRUNED
793,0.6247666542368892,2023-04-26 14:03:16.239460,2023-04-26 14:03:17.325545,0 days 00:00:01.086085,0.6342919362824772,0.03644781544041953,0.017300414094331272,1.7761686942665502,0.26064420374132174,3,7,0.6117269384582686,0.6247666542368892,,,,PRUNED
674,0.6247925905289102,2023-04-26 14:00:39.821158,2023-04-26 14:00:40.916743,0 days 00:00:01.095585,0.5826952211180058,0.03351221173588439,0.1339774212721876,1.5063396050697504,0.24139608597977325,4,8,0.5578642846904008,0.6247925905289102,,,,PRUNED
