number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
179,1.0419244766235352,2023-04-25 13:55:03.254464,2023-04-25 13:55:06.130296,0 days 00:00:02.875832,0.005875173172518907,24,0.0001598415307301014,0.00728719212253633,4,1.0055917501449585,1.0419244766235352,,,PRUNED
172,1.042701005935669,2023-04-25 13:53:57.925745,2023-04-25 13:54:03.885865,0 days 00:00:05.960120,0.005713353660852137,22,0.008737764782754827,0.008795130292135179,2,1.042701005935669,,,,PRUNED
228,1.042824149131775,2023-04-25 13:58:29.888583,2023-04-25 13:58:31.219813,0 days 00:00:01.331230,0.004812597659813959,16,0.0001721629731720235,0.0045522336188854855,3,1.042824149131775,,,,PRUNED
145,1.043006181716919,2023-04-25 13:52:45.055264,2023-04-25 13:52:46.195215,0 days 00:00:01.139951,0.00451957496476257,12,0.0001508474223809903,0.0026073005517163617,4,1.043006181716919,,,,PRUNED
175,1.0431700944900513,2023-04-25 13:54:23.155582,2023-04-25 13:54:25.982051,0 days 00:00:02.826469,0.006104910470117944,24,0.0001433329497480388,0.00493960535665651,4,1.0045897960662842,1.0431700944900513,,,PRUNED
170,1.0433205366134644,2023-04-25 13:53:49.112225,2023-04-25 13:53:51.353430,0 days 00:00:02.241205,0.006281695022588529,16,0.00025065525767994863,0.0076583526171320835,3,1.012382984161377,1.0433205366134644,,,PRUNED
79,1.0435010194778442,2023-04-25 13:48:00.077281,2023-04-25 13:48:01.708427,0 days 00:00:01.631146,0.006968212624336124,28,0.00044270476501165486,0.017005220984848406,3,1.0435010194778442,,,,PRUNED
122,1.043692708015442,2023-04-25 13:51:22.221589,2023-04-25 13:51:23.533921,0 days 00:00:01.312332,0.006974335013775191,22,0.00042049636487364174,0.002772337896604327,3,1.043692708015442,,,,PRUNED
8,1.0445606708526611,2023-04-25 13:41:56.037529,2023-04-25 13:42:13.703737,0 days 00:00:17.666208,0.007447370592321245,24,0.0005066994372070878,0.014239176937438168,3,0.9963013529777527,1.0445606708526611,,,COMPLETE
200,1.044823169708252,2023-04-25 13:56:32.438890,2023-04-25 13:56:35.041975,0 days 00:00:02.603085,0.006989518512796292,24,0.00024515511709940834,0.015206656542985598,4,1.044823169708252,,,,PRUNED
214,1.0450021028518677,2023-04-25 13:57:36.373933,2023-04-25 13:57:39.126418,0 days 00:00:02.752485,0.005209974550676928,20,0.0005910945367577393,0.00599160651431608,4,1.0126402378082275,1.0450021028518677,,,PRUNED
15,1.0455023050308228,2023-04-25 13:42:46.451609,2023-04-25 13:42:48.541815,0 days 00:00:02.090206,0.0029775147186038263,32,0.00033400771079564233,0.00828999627947695,3,1.0144352912902832,1.0455023050308228,,,PRUNED
246,1.045788288116455,2023-04-25 13:59:50.345933,2023-04-25 13:59:51.927153,0 days 00:00:01.581220,0.004726437638761289,10,0.00014725813910531352,0.035987272878660825,4,1.045788288116455,,,,PRUNED
234,1.046234369277954,2023-04-25 13:59:08.356403,2023-04-25 13:59:11.085465,0 days 00:00:02.729062,0.0027683354966113348,8,0.00010807161862693787,0.003683269262852551,4,1.046234369277954,,,,PRUNED
86,1.0466946363449097,2023-04-25 13:48:43.867164,2023-04-25 13:48:47.540255,0 days 00:00:03.673091,0.005312999675897982,28,0.0002250777290546685,0.0033713197304651994,4,1.0466946363449097,,,,PRUNED
150,1.0490714311599731,2023-04-25 13:52:57.237658,2023-04-25 13:52:58.855505,0 days 00:00:01.617847,0.007529876299447694,30,0.00016873512918243164,0.003830932660788334,4,1.0490714311599731,,,,PRUNED
189,1.0496551990509033,2023-04-25 13:55:44.641952,2023-04-25 13:55:47.802800,0 days 00:00:03.160848,0.006036685581203371,24,0.00013546279208888852,0.007084302036554365,4,1.0496551990509033,,,,PRUNED
80,1.04984712600708,2023-04-25 13:48:01.708927,2023-04-25 13:48:03.113528,0 days 00:00:01.404601,0.005559451328549298,18,0.00023254758678803125,0.013655177320461965,2,1.04984712600708,,,,PRUNED
186,1.051837682723999,2023-04-25 13:55:37.411141,2023-04-25 13:55:39.168944,0 days 00:00:01.757803,0.006200477019938607,6,0.00015434795231748476,0.010245365919133127,4,1.051837682723999,,,,PRUNED
87,1.0520557165145874,2023-04-25 13:48:47.540755,2023-04-25 13:48:49.054186,0 days 00:00:01.513431,0.0067924939692602816,12,0.0002970653271451742,0.011050926520122874,4,1.0520557165145874,,,,PRUNED
216,1.0525145530700684,2023-04-25 13:57:45.836491,2023-04-25 13:57:48.804157,0 days 00:00:02.967666,0.003640420531851782,24,0.00015717142527108547,0.007039473862023943,2,1.0525145530700684,,,,PRUNED
185,1.0532077550888062,2023-04-25 13:55:35.705192,2023-04-25 13:55:37.410137,0 days 00:00:01.704945,0.005766252052187151,18,0.00019898312841187102,0.011352775766365543,4,1.0532077550888062,,,,PRUNED
244,1.0542266368865967,2023-04-25 13:59:44.525245,2023-04-25 13:59:47.534794,0 days 00:00:03.009549,0.008198250490624493,12,0.0001589435447000794,0.014504331854093503,4,1.0542266368865967,,,,PRUNED
37,1.0575758218765259,2023-04-25 13:45:06.177340,2023-04-25 13:45:09.490714,0 days 00:00:03.313374,0.006459847162955329,26,0.000122795714026667,0.006306945672359714,3,1.0125501155853271,1.0575758218765259,,,PRUNED
240,1.0576993227005005,2023-04-25 13:59:31.626564,2023-04-25 13:59:33.322826,0 days 00:00:01.696262,0.007572953637290103,30,0.000186520438478031,0.017687368324012038,4,1.0576993227005005,,,,PRUNED
198,1.0583455562591553,2023-04-25 13:56:24.886071,2023-04-25 13:56:26.402511,0 days 00:00:01.516440,0.0048651839744914965,28,0.0001446481579696366,0.006465789083694899,4,1.0583455562591553,,,,PRUNED
75,1.059728980064392,2023-04-25 13:47:43.918231,2023-04-25 13:47:45.359321,0 days 00:00:01.441090,0.0063191019025534215,10,0.00020462037471217367,0.0011085104055666532,3,1.059728980064392,,,,PRUNED
88,1.0599766969680786,2023-04-25 13:48:49.054186,2023-04-25 13:48:50.539916,0 days 00:00:01.485730,0.0056281573697023815,32,0.00019505055096241962,0.005095105793474777,4,1.0599766969680786,,,,PRUNED
154,1.060628890991211,2023-04-25 13:53:06.418387,2023-04-25 13:53:08.677041,0 days 00:00:02.258654,0.002848473244931254,20,0.0004720733294609294,0.017520036040625627,2,1.060628890991211,,,,PRUNED
187,1.0640968084335327,2023-04-25 13:55:39.169444,2023-04-25 13:55:42.088714,0 days 00:00:02.919270,0.005162856608453898,26,0.00016638654939635364,0.008742627145306246,4,1.0640968084335327,,,,PRUNED
