number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
32,0.5720095797735935,2023-05-02 14:18:10.676360,2023-05-02 14:18:11.851099,0 days 00:00:01.174739,0.08717821251748537,0.0027362174266879094,0.5720057685452569,0.5720095797735935,,,PRUNED
178,0.5720222720066759,2023-05-02 14:22:47.178108,2023-05-02 14:22:48.200201,0 days 00:00:01.022093,0.019722381211491176,0.0034554491290137387,0.5722021511706242,0.5720222720066759,,,PRUNED
13,0.5720261103258965,2023-05-02 14:17:47.552926,2023-05-02 14:17:48.538655,0 days 00:00:00.985729,0.015870714943193934,0.003496935517890123,0.5721969353347737,0.5720261103258965,,,PRUNED
235,0.5720294975532005,2023-05-02 14:24:53.835144,2023-05-02 14:24:54.903772,0 days 00:00:01.068628,0.018191472839676048,0.0034790575428035814,0.5722078021291449,0.5720294975532005,,,PRUNED
41,0.5720312415992415,2023-05-02 14:18:20.536025,2023-05-02 14:18:21.737291,0 days 00:00:01.201266,0.03743771609866617,0.0015094108858579802,0.572399597177442,0.5720312415992415,,,PRUNED
195,0.5720316119709532,2023-05-02 14:23:28.133219,2023-05-02 14:23:29.163947,0 days 00:00:01.030728,0.051557961825318986,0.003137054421468917,0.5722481835747454,0.5720316119709532,,,PRUNED
111,0.5720349268616958,2023-05-02 14:20:37.546690,2023-05-02 14:20:38.580296,0 days 00:00:01.033606,0.03792823938739753,0.0032931746494782375,0.5722122233480958,0.5720349268616958,,,PRUNED
63,0.5720359370347698,2023-05-02 14:19:00.282989,2023-05-02 14:19:01.459819,0 days 00:00:01.176830,0.11225376629302902,0.0018206892893689976,0.5722200254039199,0.5720359370347698,,,PRUNED
298,0.5720383517123521,2023-05-02 14:26:24.060532,2023-05-02 14:26:25.278761,0 days 00:00:01.218229,0.020753920878196618,0.0014491639781871533,0.5720383517123521,,,,PRUNED
448,0.5720386531250053,2023-05-02 14:29:44.287915,2023-05-02 14:29:45.342540,0 days 00:00:01.054625,0.029091143924518663,0.003386099289480792,0.5722171093569542,0.5720386531250053,,,PRUNED
170,0.5720440316827021,2023-05-02 14:22:35.234930,2023-05-02 14:22:36.248638,0 days 00:00:01.013708,0.07010321225283443,0.0030379546289477275,0.5722898225530836,0.5720440316827021,,,PRUNED
411,0.5720736824951349,2023-05-02 14:28:48.468312,2023-05-02 14:28:49.535554,0 days 00:00:01.067242,0.03255733365180644,0.0017078171355773563,0.5720736824951349,,,,PRUNED
270,0.5720737626881822,2023-05-02 14:25:43.753236,2023-05-02 14:25:44.942294,0 days 00:00:01.189058,0.022573389808889805,0.00143659772523241,0.5720737626881822,,,,PRUNED
85,0.572091491935157,2023-05-02 14:19:53.208364,2023-05-02 14:19:54.406547,0 days 00:00:01.198183,0.04966819247996209,0.003248581572989777,0.572091491935157,,,,PRUNED
200,0.5721085937775406,2023-05-02 14:23:39.985622,2023-05-02 14:23:41.023847,0 days 00:00:01.038225,0.06762519320024489,0.0018581318084866976,0.5721085937775406,,,,PRUNED
408,0.5721243842088309,2023-05-02 14:28:45.109027,2023-05-02 14:28:46.173961,0 days 00:00:01.064934,0.0556219753389098,0.0032533840452408265,0.5723044135073118,0.5721243842088309,,,PRUNED
206,0.5721255277845573,2023-05-02 14:23:52.828848,2023-05-02 14:23:53.864059,0 days 00:00:01.035211,0.03868917836261168,0.0016966583607887463,0.5721255277845573,,,,PRUNED
369,0.5721654085333051,2023-05-02 14:27:50.027067,2023-05-02 14:27:51.074592,0 days 00:00:01.047525,0.08506345797241335,0.00304769231276798,0.5721654085333051,,,,PRUNED
391,0.5721681644062091,2023-05-02 14:28:23.194630,2023-05-02 14:28:24.239305,0 days 00:00:01.044675,0.01708388403660898,0.0036401883586624005,0.5721681644062091,,,,PRUNED
21,0.5721728024948967,2023-05-02 14:17:55.514486,2023-05-02 14:17:56.516844,0 days 00:00:01.002358,0.005171612434764871,0.001533095008138768,0.5732329596498235,0.5721728024948967,,,PRUNED
97,0.5721761080090824,2023-05-02 14:20:12.647826,2023-05-02 14:20:13.687027,0 days 00:00:01.039201,0.027381612295601463,0.003571113785624429,0.5723346777307735,0.5721761080090824,,,PRUNED
164,0.5721829088820726,2023-05-02 14:22:25.924749,2023-05-02 14:22:26.981866,0 days 00:00:01.057117,0.038872879174855456,0.003478966700983893,0.5723308695159669,0.5721829088820726,,,PRUNED
347,0.5722174652549246,2023-05-02 14:27:23.938499,2023-05-02 14:27:24.989366,0 days 00:00:01.050867,0.0004049964650417326,0.001507170257136323,0.5722174652549246,,,,PRUNED
458,0.5722211732583247,2023-05-02 14:29:55.284173,2023-05-02 14:29:56.555134,0 days 00:00:01.270961,0.1408384351788921,0.0017989383046123893,0.5722211732583247,,,,PRUNED
