number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.7449055169101714,2023-07-10 14:26:27.967548,2023-07-10 14:26:32.356923,0 days 00:00:04.389375,0.23689059312555164,0.00042993777572483016,12.0,0.7426661547032788,0.7392081722694885,0.7376920721025002,,COMPLETE
357,0.7449066959923476,2023-07-10 14:36:45.003498,2023-07-10 14:36:49.805612,0 days 00:00:04.802114,0.18557598608156742,0.0004161076987142708,12.0,0.7390256508480515,0.7376211039607851,,,COMPLETE
201,0.7449076487810521,2023-07-10 14:32:18.019571,2023-07-10 14:32:22.872526,0 days 00:00:04.852955,0.12877918208729974,0.00039310124064263795,13.0,0.7415304933608197,0.7388881969145781,0.7375100337826834,,COMPLETE
400,0.74490820328701,2023-07-10 14:37:44.731552,2023-07-10 14:37:49.339258,0 days 00:00:04.607706,0.2343498421246724,0.0004101630006620582,13.0,0.7393118155589159,0.737658814686106,,,COMPLETE
168,0.7449123133846327,2023-07-10 14:31:04.964893,2023-07-10 14:31:09.626545,0 days 00:00:04.661652,0.17490365113081943,0.0003807770356932854,16.0,0.7376408734174594,,,,COMPLETE
31,0.7449194118722527,2023-07-10 14:26:47.025270,2023-07-10 14:26:51.667267,0 days 00:00:04.641997,0.13284256315268517,0.00034512254561414014,17.0,0.737575749542102,,,,COMPLETE
155,0.7449205664284898,2023-07-10 14:30:38.623236,2023-07-10 14:30:43.310104,0 days 00:00:04.686868,0.132520386612874,0.00037380186151359136,15.0,0.7417160653788314,0.7390127580144705,0.7376451771448693,,COMPLETE
63,0.7449224551421385,2023-07-10 14:27:44.056942,2023-07-10 14:27:48.602914,0 days 00:00:04.545972,0.11186919745744667,0.00037974159814901427,14.0,0.7424817389280822,0.738727938272018,0.7376090353868946,,COMPLETE
186,0.7449284069979116,2023-07-10 14:31:48.527401,2023-07-10 14:31:53.419298,0 days 00:00:04.891897,0.16624897873733338,0.00034378522961996566,21.0,0.7391843148073978,0.7374847510181193,,,COMPLETE
314,0.7449285965508848,2023-07-10 14:35:32.417504,2023-07-10 14:35:37.383256,0 days 00:00:04.965752,0.17799154224854433,0.00036117021298808443,20.0,0.7390911160506405,0.7376474905424617,,,COMPLETE
